,CID,G_OMM,G_OMM_Tunit,G_OMM_NoT,G_OMM_NoM,G_OMM_NoF,G_OMM_Purp1,G_OMM_Purp2,G_OMM_Purp3,G_GiM_Better1,G_GiM_Better2,G_GiM_Better3,Survey_Round,Community,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,G_GiM_Worse1,G_GiM_Worse2,G_GiM_Worse3,G_IG_HC1,G_IG_HC2,G_IG_HC3,G_IG_WU1,G_IG_WU2,G_IG_WU3,G_IG_SL1,G_IG_SL2,G_IG_SL3,G_Prgm_ID,G_Prgm_M,G_PrgmM_FIntro,G_PrgmM_NoHHB,G_Prgm_ILoM,G_Prgm_Purp1,G_Prgm_Purp2,G_Prgm_Purp3,G_Prgm_Decide,G_PrgmEffC_5y,G_Prgm_2007NoHHB,G_Prgm_Name,G_PrgmEffC_1y,G_PrgmM_StillRun
747,110243637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
748,110243637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
749,110243637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,
750,110243637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
751,110243637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
752,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2012.0,25.0,1.0,6.0,4.0,,1.0,,,Aurat Foundation,,1.0
753,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
754,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,2012.0,100.0,1.0,6.0,7.0,3.0,1.0,,,Khushal Pakistan,,1.0
755,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,4.0,
756,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,3.0,
757,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,
758,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
759,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
760,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,
761,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
762,110243738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
763,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2010.0,40.0,1.0,4.0,6.0,2.0,1.0,,,Aurat Foundation,,
764,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
765,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
766,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,4.0,1.0
767,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,,
768,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,1.0
769,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
770,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
771,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,
772,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
773,110243839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,1.0
774,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2010.0,20.0,1.0,4.0,6.0,5.0,1.0,,,Aurat Foundation,,
775,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
776,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
777,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,4.0,
778,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,,
779,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,
780,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
781,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
782,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,
783,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
784,110253940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,1.0
785,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2010.0,25.0,4.0,6.0,2.0,5.0,2.0,,,Aurat Foundation,,
786,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
787,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
788,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,4.0,
789,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,4.0,
790,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,1.0
791,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,1.0
792,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
793,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,1.0
794,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
795,111264041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
796,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2009.0,10.0,2.0,6.0,2.0,4.0,3.0,,,Aurat Foundation,,
797,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
798,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
799,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,3.0,
800,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,,
801,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,
802,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,1.0
803,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
804,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,1.0
805,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
806,111274142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
807,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2008.0,6.0,4.0,5.0,6.0,4.0,1.0,,,Aurat Foundation,,
808,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
809,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
810,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,2.0,
811,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,4.0,
812,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,1.0
813,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
814,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
815,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,1.0
816,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,1.0
817,111274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
818,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2009.0,40.0,3.0,6.0,5.0,2.0,2.0,,,Aurat Foundation,,
819,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
820,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
821,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,3.0,
822,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,3.0,
823,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,1.0
824,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
825,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
826,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,
827,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,1.0
828,111284344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
829,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,10.0,3.0,6.0,,,1.0,,,Aurat Foundation,,1.0
830,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,1.0
831,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
832,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,3.0,
833,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,3.0,
834,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,1.0
835,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
836,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
837,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,
838,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,0.0
839,112294445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,1.0,1.0
840,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2008.0,7.0,3.0,6.0,,,1.0,,,Aurat Foundation,,
841,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
842,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
843,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,3.0,
844,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,4.0,1.0
845,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,
846,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
847,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
848,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,
849,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
850,112304546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
851,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,Aurat Foundation,,
852,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2010.0,2.0,4.0,11.0,,,1.0,,,Edhi Foundation,,
853,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
854,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,,
855,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,4.0,1.0
856,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,
857,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
858,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
859,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,1.0
860,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
861,112304647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,1.0
862,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2009.0,45.0,4.0,6.0,,,2.0,,,Aurat Foundation,,
863,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
864,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
865,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,,1.0
866,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,4.0,
867,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,
868,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,1.0
869,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
870,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,
871,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,1.0
872,112314748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
873,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2009.0,150.0,2.0,4.0,6.0,,4.0,,,Aurat Foundation,,
874,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2011.0,70.0,2.0,11.0,,,4.0,,,Edhi Foundation,,1.0
875,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
876,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,2.0,
877,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,4.0,1.0
878,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,,
879,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
880,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
881,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,1.0
882,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
883,213324849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
884,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2010.0,15.0,3.0,6.0,4.0,,1.0,,,Aurat Foundation,,
885,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2012.0,0.0,3.0,6.0,,,1.0,,,Edhi Foundation,,
886,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
887,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,BISP,1.0,1.0
888,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Watan Card,1.0,1.0
889,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,NRSP,1.0,
890,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,PRSP,,
891,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Sindh RSP,,
892,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sarhad RSP,,1.0
893,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PPAF,,
894,213324952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,AKRSP,,
895,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,3.0,4.0,6.0,,1.0,,,Aurat Foundation,,
896,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Edhi Foundation,,
897,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Khushal Pakistan,,
898,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,1.0,
899,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,BISP,1.0,
900,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,Watan Card,1.0,
901,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,NRSP,,
902,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,PRSP,,
903,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sindh RSP,,1.0
904,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,Sarhad RSP,,
905,213334950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,PPAF,,1.0
906,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2011.0,16.0,3.0,4.0,6.0,,1.0,,,AKRSP,,
907,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2011.0,20.0,3.0,6.0,,,1.0,,,Aurat Foundation,,1.0
908,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Edhi Foundation,,
909,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,Khushal Pakistan,,
910,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,BISP,,1.0
911,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,Watan Card,4.0,
912,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,NRSP,,
913,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,PRSP,,
914,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sindh RSP,,
915,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,Sarhad RSP,,
916,213335051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,PPAF,,
917,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2007.0,7.0,4.0,5.0,5.0,,1.0,,,AKRSP,,1.0
918,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,Aurat Foundation,,
919,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Edhi Foundation,,
920,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,Khushal Pakistan,,
921,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,BISP,4.0,1.0
922,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,Watan Card,4.0,
923,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,NRSP,,1.0
924,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,PRSP,,
925,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,Sindh RSP,,
926,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,Sarhad RSP,,1.0
927,214345253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,PPAF,,
928,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2008.0,200.0,1.0,3.0,5.0,,1.0,,,AKRSP,,
929,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2010.0,300.0,1.0,11.0,3.0,,1.0,,,Aurat Foundation,,
930,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Edhi Foundation,,
931,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,Khushal Pakistan,,
932,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,4.0,
933,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,BISP,4.0,
934,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,Watan Card,4.0,1.0
935,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,NRSP,4.0,
936,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,PRSP,,
937,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,Sindh RSP,,1.0
938,214355354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,Sarhad RSP,,
939,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2010.0,3.0,4.0,4.0,6.0,,1.0,,,PPAF,,
940,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2010.0,10.0,4.0,6.0,11.0,,1.0,,,AKRSP,,
941,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,Aurat Foundation,,
942,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,Edhi Foundation,,
943,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,Khushal Pakistan,,
944,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,,4.0,
945,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,BISP,3.0,
946,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,,,,,,,,Watan Card,3.0,1.0
947,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,NRSP,,
948,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,PRSP,,1.0
949,214365455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,,,,,,,,,,Sindh RSP,,
950,214365556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2009.0,50.0,2.0,3.0,4.0,6.0,1.0,,,Sarhad RSP,,
